"MajorFolder","Path","LastUpdated","Commit","Author","Subject"
"(root)",".gitignore","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/BUG_REPORT.md","2026-06-13T03:09:16+08:00","65d8ba9","Gean Dhylan E. Mapesos","Finalize defense-ready thesis package"
"android-app","android-app/app/build.gradle.kts","2026-06-13T03:09:16+08:00","65d8ba9","Gean Dhylan E. Mapesos","Finalize defense-ready thesis package"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/1.json","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/2.json","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/3.json","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/4.json","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/5.json","2026-05-26T01:22:12+08:00","3cb2848","Gean Dhylan E. Mapesos","Add platform tracking settings"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/6.json","2026-06-13T03:09:16+08:00","65d8ba9","Gean Dhylan E. Mapesos","Finalize defense-ready thesis package"
"android-app","android-app/app/schemas/edu.feutech.redu.data.ReduDatabase/7.json","2026-06-13T03:09:16+08:00","65d8ba9","Gean Dhylan E. Mapesos","Finalize defense-ready thesis package"
"android-app","android-app/app/src/androidTest/java/edu/feutech/redu/data/ReduDatabaseClearHistoryTest.kt","2026-06-09T23:01:50+08:00","9a31934","Gean Dhylan E. Mapesos","Update REDU thesis and analysis export workflow"
"android-app","android-app/app/src/androidTest/java/edu/feutech/redu/data/ReduDatabaseMigrationTest.kt","2026-06-13T03:09:16+08:00","65d8ba9","Gean Dhylan E. Mapesos","Finalize defense-ready thesis package"
"android-app","android-app/app/src/debug/java/edu/feutech/redu/debug/DebugAccessibilityTreeSerializer.kt","2026-05-23T17:43:15+08:00","af33d7f","Gean Dhylan E. Mapesos","Initial commit"
