study_code,group,platform,start_ms,end_ms,raw_duration_ms,prompt_excluded_duration_ms,mean_dwell_ms,swipe_count,risk_score,risk_level,sentiment_reliability,nsd_percent,oov_ratio
P-06Y,CONTROL,TIKTOK,1778367946000,1778371051768,3105768,3105768,3398,915,99.0,CRITICAL,SENTIMENT_UNRELIABLE,,0.51525986199119
P-04Y,CONTROL,TIKTOK,1778368057000,1778370933316,2876316,2876316,2357,1222,99.0,CRITICAL,RELIABLE,57.1181147856441,0.063733910114009
P-46Y,CONTROL,INSTAGRAM,1778368359000,1778369103108,744108,744108,20519,34,0.2,SAFE,RELIABLE,17.8963755589434,0.12864696231508
P-27X,INTERVENTION,FACEBOOK,1778368419000,1778369019033,600033,523702,11458,52,43.24,WARNING,RELIABLE,57.1313330658068,0.413291372049847
P-11X,INTERVENTION,FACEBOOK,1778368480000,1778370038361,1558361,1532794,4471,346,79.55,CRITICAL,SENTIMENT_UNRELIABLE,,0.940928280380676
P-15X,INTERVENTION,INSTAGRAM,1778368492000,1778369598050,1106050,1088301,8530,129,65.57,WARNING,SENTIMENT_UNRELIABLE,,0.787271736053171
P-03X,INTERVENTION,FACEBOOK,1778368866000,1778370860267,1994267,1895310,3854,521,99.0,CRITICAL,RELIABLE,85.1693965314651,0.083501237910451
P-46Y,CONTROL,INSTAGRAM,1778369761000,1778370229354,468354,468354,12713,34,0.0,SAFE,RELIABLE,4.6137695615983,0.165990325099339
P-13X,INTERVENTION,FACEBOOK,1778369978000,1778371567959,1589959,1558842,3964,406,80.94,CRITICAL,SENTIMENT_UNRELIABLE,,0.85977198151566
P-05X,INTERVENTION,TIKTOK,1778370423000,1778371548302,1125302,1029933,3131,356,83.97,CRITICAL,SENTIMENT_UNRELIABLE,,0.730118331308847
P-22Y,CONTROL,TIKTOK,1778370816000,1778371566881,750881,750881,6514,113,54.4,WARNING,RELIABLE,56.4028343113177,0.145216871843375
P-47X,INTERVENTION,TIKTOK,1778370928000,1778371405960,477960,477960,31842,21,0.0,SAFE,RELIABLE,19.8559199660099,0.090913822186471
P-31X,INTERVENTION,FACEBOOK,1778371200000,1778371703195,503195,503195,14696,37,18.69,SAFE,RELIABLE,16.147926895537,0.131054512282923
P-41X,INTERVENTION,FACEBOOK,1778371206000,1778371563019,357019,357019,15845,21,0.21,SAFE,RELIABLE,15.291569381229,0.182074282088461
P-29X,INTERVENTION,INSTAGRAM,1778371208000,1778371643653,435653,435653,16823,30,20.34,SAFE,RELIABLE,31.8877724875323,0.164753316826537
P-38Y,CONTROL,FACEBOOK,1778371210000,1778371456630,246630,246630,39362,3,1.81,SAFE,RELIABLE,26.0676249292769,0.106265329320871
P-44Y,CONTROL,FACEBOOK,1778371216000,1778371364590,148590,148590,29805,3,2.24,SAFE,RELIABLE,31.7165453328504,0.33119223669126
