id,studyCode,platform,timestampMillis,type,detailsCode,affectedSessionId
1,P-01X,,1779509157828,SERVICE_STARTED,service_connected,
2,P-01X,INSTAGRAM,1779509175053,TARGET_FOREGROUND,instagram_foreground,
3,P-01X,INSTAGRAM,1779509178439,TARGET_BACKGROUND,target_background_bridge_started,
4,P-01X,INSTAGRAM,1779509186609,TARGET_FOREGROUND,instagram_foreground,
5,P-01X,INSTAGRAM,1779509270548,TARGET_BACKGROUND,target_background_bridge_started,
6,P-01X,INSTAGRAM,1779509300617,SESSION_FINALIZED,session_saved,1
7,P-01X,,1779509424529,SERVICE_STARTED,service_connected,
8,P-01X,,1779517158524,SERVICE_STARTED,service_connected,
9,P-01X,,1779519154460,SERVICE_STARTED,service_connected,
10,P-01X,TIKTOK,1779519273934,TARGET_FOREGROUND,tiktok_foreground,
11,P-01X,TIKTOK,1779519275243,TARGET_FOREGROUND,tiktok_foreground,
12,P-01X,TIKTOK,1779519277942,TARGET_BACKGROUND,target_background_bridge_started,
13,P-01X,TIKTOK,1779519289032,TARGET_FOREGROUND,tiktok_foreground,
14,P-01X,TIKTOK,1779519291492,TARGET_BACKGROUND,target_background_bridge_started,
15,P-01X,TIKTOK,1779519369972,TARGET_FOREGROUND,tiktok_foreground,
16,P-01X,TIKTOK,1779519381113,TARGET_BACKGROUND,target_background_bridge_started,
17,P-01X,TIKTOK,1779519705207,TARGET_BACKGROUND,target_background_bridge_started,
18,P-01X,TIKTOK,1779519742870,TARGET_BACKGROUND,target_background_bridge_started,
19,P-01X,TIKTOK,1779519748925,TARGET_BACKGROUND,target_background_bridge_started,
20,P-01X,TIKTOK,1779519907711,TARGET_BACKGROUND,target_background_bridge_started,
21,P-01X,TIKTOK,1779519929168,TARGET_BACKGROUND,target_background_bridge_started,
22,P-01X,TIKTOK,1779519995654,TARGET_BACKGROUND,target_background_bridge_started,
23,P-01X,TIKTOK,1779520120632,TARGET_BACKGROUND,target_background_bridge_started,
24,P-01X,TIKTOK,1779520184185,TARGET_BACKGROUND,target_background_bridge_started,
25,P-01X,TIKTOK,1779520395989,TARGET_BACKGROUND,target_background_bridge_started,
26,P-01X,TIKTOK,1779520410814,TARGET_FOREGROUND,tiktok_foreground,
27,P-01X,TIKTOK,1779520481623,TARGET_BACKGROUND,target_background_bridge_started,
28,P-01X,TIKTOK,1779520540672,TARGET_BACKGROUND,target_background_bridge_started,
29,P-01X,TIKTOK,1779520570712,HIGH_OOV,sentiment_unreliable,2
30,P-01X,TIKTOK,1779520570723,SESSION_FINALIZED,session_saved,2
31,P-01X,TIKTOK,1779520664298,TARGET_FOREGROUND,tiktok_foreground,
32,P-01X,,1779520710426,SERVICE_STARTED,service_connected,
33,P-01X,TIKTOK,1779520999361,TARGET_FOREGROUND,tiktok_foreground,
34,P-01X,TIKTOK,1779521198690,TARGET_BACKGROUND,target_background_bridge_started,
35,P-01X,TIKTOK,1779521206970,TARGET_FOREGROUND,tiktok_foreground,
36,P-01X,TIKTOK,1779521209654,TARGET_BACKGROUND,target_background_bridge_started,
37,P-01X,TIKTOK,1779521239664,HIGH_OOV,sentiment_unreliable,3
38,P-01X,TIKTOK,1779521239670,SESSION_FINALIZED,session_saved,3
39,P-01X,,1779521594000,SERVICE_STARTED,service_connected,
40,P-01X,INSTAGRAM,1779521687301,TARGET_FOREGROUND,instagram_foreground,
41,P-01X,INSTAGRAM,1779521731445,TARGET_FOREGROUND,instagram_foreground,
42,P-01X,INSTAGRAM,1779521735487,TARGET_BACKGROUND,target_background_bridge_started,
43,P-01X,INSTAGRAM,1779521757199,TARGET_FOREGROUND,instagram_foreground,
44,P-01X,INSTAGRAM,1779521780142,TARGET_BACKGROUND,target_background_bridge_started,
45,P-01X,INSTAGRAM,1779521788524,TARGET_FOREGROUND,instagram_foreground,
46,P-01X,,1779522174574,SERVICE_STARTED,service_connected,
47,P-01X,INSTAGRAM,1779522247494,TARGET_FOREGROUND,instagram_foreground,
48,P-01X,INSTAGRAM,1779522452904,TARGET_FOREGROUND,instagram_foreground,
49,P-01X,,1779522458985,SERVICE_STARTED,service_connected,
50,P-01X,INSTAGRAM,1779522460092,TARGET_BACKGROUND,target_background_bridge_started,
51,P-01X,INSTAGRAM,1779522490146,SESSION_FINALIZED,session_saved,4
52,P-01X,INSTAGRAM,1779530350264,TARGET_FOREGROUND,instagram_foreground,
53,P-01X,INSTAGRAM,1779530360744,TARGET_FOREGROUND,instagram_foreground,
54,P-01X,INSTAGRAM,1779530362740,TARGET_BACKGROUND,target_background_bridge_started,
55,P-01X,INSTAGRAM,1779530392787,HIGH_OOV,sentiment_unreliable,5
56,P-01X,INSTAGRAM,1779530392800,SESSION_FINALIZED,session_saved,5
57,P-01X,INSTAGRAM,1779530453870,TARGET_BACKGROUND,target_background_bridge_started,
58,P-01X,INSTAGRAM,1779530455011,TARGET_BACKGROUND,target_background_bridge_started,
59,P-01X,INSTAGRAM,1779530485027,HIGH_OOV,sentiment_unreliable,6
60,P-01X,INSTAGRAM,1779530485038,SESSION_FINALIZED,session_saved,6
61,P-01X,INSTAGRAM,1779530496197,TARGET_BACKGROUND,target_background_bridge_started,
62,P-01X,INSTAGRAM,1779530503741,TARGET_BACKGROUND,target_background_bridge_started,
