study_code,timestamp_ms,platform,event_type,details_code,affected_session_id
P-06Y,1778367944000,,SERVICE_STARTED,service_connected,
P-06Y,1778367946300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-04Y,1778368055000,,SERVICE_STARTED,service_connected,
P-04Y,1778368057300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-46Y,1778368357000,,SERVICE_STARTED,service_connected,
P-46Y,1778368359300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-27X,1778368417000,,SERVICE_STARTED,service_connected,
P-27X,1778368419300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-11X,1778368478000,,SERVICE_STARTED,service_connected,
P-11X,1778368480300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-15X,1778368490000,,SERVICE_STARTED,service_connected,
P-15X,1778368492300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-03X,1778368864000,,SERVICE_STARTED,service_connected,
P-03X,1778368866300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-27X,1778369019037,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-27X,1778369049033,FACEBOOK,SESSION_FINALIZED,session_saved,4
P-46Y,1778369103112,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-46Y,1778369133108,INSTAGRAM,SESSION_FINALIZED,session_saved,3
P-15X,1778369598054,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-15X,1778369628032,INSTAGRAM,HIGH_OOV,sentiment_unreliable,6
P-15X,1778369628050,INSTAGRAM,SESSION_FINALIZED,session_saved,6
P-46Y,1778369759000,,SERVICE_STARTED,service_connected,
P-46Y,1778369761300,INSTAGRAM,TARGET_FOREGROUND,instagram_foreground,
P-13X,1778369976000,,SERVICE_STARTED,service_connected,
P-13X,1778369978300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-11X,1778370038365,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-11X,1778370068343,FACEBOOK,HIGH_OOV,sentiment_unreliable,5
P-11X,1778370068361,FACEBOOK,SESSION_FINALIZED,session_saved,5
P-46Y,1778370229358,INSTAGRAM,TARGET_BACKGROUND,target_background_bridge_started,
P-46Y,1778370259354,INSTAGRAM,SESSION_FINALIZED,session_saved,8
P-05X,1778370421000,,SERVICE_STARTED,service_connected,
P-05X,1778370423300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-22Y,1778370814000,,SERVICE_STARTED,service_connected,
P-22Y,1778370816300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-03X,1778370860271,FACEBOOK,TARGET_BACKGROUND,target_background_bridge_started,
P-03X,1778370890267,FACEBOOK,SESSION_FINALIZED,session_saved,7
P-47X,1778370926000,,SERVICE_STARTED,service_connected,
P-47X,1778370928300,TIKTOK,TARGET_FOREGROUND,tiktok_foreground,
P-04Y,1778370933320,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-04Y,1778370963316,TIKTOK,SESSION_FINALIZED,session_saved,2
P-06Y,1778371051772,TIKTOK,TARGET_BACKGROUND,target_background_bridge_started,
P-06Y,1778371081750,TIKTOK,HIGH_OOV,sentiment_unreliable,1
P-06Y,1778371081768,TIKTOK,SESSION_FINALIZED,session_saved,1
P-31X,1778371198000,,SERVICE_STARTED,service_connected,
P-31X,1778371200300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
P-41X,1778371204000,,SERVICE_STARTED,service_connected,
P-29X,1778371206000,,SERVICE_STARTED,service_connected,
P-41X,1778371206300,FACEBOOK,TARGET_FOREGROUND,facebook_foreground,
